Id,SalePrice
1,127332.944766667
2,156631.528833333
3,177954.734466667
4,184002.819733333
5,198744.6979
6,185276.103533333
7,171088.689866667
8,176051.7251
9,186044.564433333
10,121248.7661
11,203099.697233333
12,95641.03
13,95361.2513333333
14,154186.160933333
15,127094.217766667
16,383735.711433333
17,250998.3159
18,304442.2706
19,285962.601633333
20,455958.189966667
21,312239.8519
22,206741.225228572
23,183263.1239
24,169977.3429
25,171722.942766667
26,201411.5421
27,329098.2705
28,233099.7641
29,206501.196433333
30,203418.591933333
31,191456.713533333
32,105050.1816
33,179110.293433333
34,295521.4961
35,300619.488066667
36,223607.641833333
37,187283.572133333
38,152351.856366667
39,152575.7571
40,159896.605666667
41,172981.8302
42,151797.651066667
43,284843.5251
44,233987.5913
45,216709.208433333
46,179493.3487
47,252327.717733333
48,193829.239466667
49,161210.565366667
50,149498.9542
51,150503.679
52,174385.069166667
53,150187.835233333
54,159879.650933333
55,183633.422266667
56,160394.773
57,150888.132933333
58,134199.637042857
59,222311.961666667
60,137363.735633333
61,144646.4046
62,163853.534733333
63,117719.350033333
64,125462.3158
65,127456.2906
66,128182.895533333
67,105811.783166667
68,130744.337333333
69,144428.5499
70,168689.878
71,128164.7592
72,106528.908633333
73,149927.243633333
74,119688.5564
75,153868.544066667
76,119201.9424
77,97130.3397333333
78,163977.1293
79,218884.1455
80,124337.090933333
81,145275.2276
82,141286.8933
83,212571.197066667
84,89722.9978
85,101601.516433333
86,125289.027466667
87,136008.803166667
88,129133.408133333
89,114935.715666667
90,140833.052
91,120240.630166667
92,147485.964266667
93,147488.031533333
94,114499.273
95,170127.124766667
96,179572.481308406
97,124495.068733333
98,98970.8802
99,120660.935633333
100,149061.013633333
101,148127.325633333
102,127474.994266667
103,122931.269366667
104,159583.5389
105,157642.331866667
106,220720.266966667
107,88034.3557333333
108,228416.8553
109,142905.216666667
110,133215.103366667
111,128501.0377
112,144485.5585
113,240122.086266667
114,128503.9063
115,212818.370833333
116,235714.980166667
117,201700.217666667
118,148299.121333333
119,146100.632666667
120,190330.186766667
121,138985.950333333
122,127713.236533333
123,338079.0507
124,238161.3866
125,140342.246133333
126,80787.3043666667
127,106565.068933333
128,149182.2874
129,104608.8121
130,134765.1277
131,106411.431466667
132,129561.321033333
133,118356.788166667
134,142629.395
135,130138.8154
136,218574.3078
137,171467.832366667
138,190875.271433333
139,188649.016366667
140,185437.374633333
141,68972.0672333333
142,113707.7627
143,94309.4904666667
144,275738.858333333
145,257875.517
146,172867.3793
147,178913.732233333
148,207784.289995238
149,195236.958033333
150,159556.626833333
151,150017.076033333
152,176368.9228
153,172407.9845
154,121227.4132
155,87045.1424666667
156,82453.5942333333
157,87903.3712
158,126950.9908
159,135602.297
160,180143.087366667
161,149259.259066667
162,143250.035433333
163,291304.0483
164,211779.618433333
165,131167.7222
166,168293.407933333
167,186287.8733
168,283887.9827
169,178159.614666667
170,330890.725633333
171,217555.305366667
172,253321.3182
173,168600.2249
174,180352.366833333
175,179020.368666667
176,165036.704633333
177,180889.295666667
178,210703.7126
179,182751.6309
180,256938.174533333
181,179691.235933333
182,226202.183933333
183,228837.9755
184,227031.9002
185,182830.3583
186,151807.865433333
187,162019.183866667
188,139158.5693
189,137621.814966667
190,121455.663033333
191,123551.927666667
192,92905.0316666667
193,97435.152
194,154986.042366667
195,150286.624733333
196,149132.8358
197,155359.1665
198,149135.265333333
199,135785.1881
200,146694.5688
201,443846.8657
202,378355.405433333
203,363477.743933333
204,436532.1412
205,310355.204733333
206,328073.029066667
207,359214.461766667
208,327971.846966667
